content,score
Yuliana bulu,5
"Hadehh, estimasi pengantaran shopeefood 10.00 terus tibanya 11.30",1
sangat baik,5
puasa,5
Good,5
Good,5
mntap,5
bagus,5
mantap,5
Sangat bagus,5
"Bagus, Luaar Biasa!",5
sangat membantu sekali,5
Bagus,5
"gimana ini saya mau co shopee food pake shopeepay eh pas mau co malah gagal ktanya perbarui aplikasi shopee pdhl apk shopee sama apk shopeepay saya udah update masih aja gtu kesalahan mulu, pdhl bru ini topup shopeepay biar mlh gini jdi males topup"" lagi",1
Makin kesini semakin parah barang yg di pesan tidak sesuai parah banget..harga dil 37000. Ko Dateng jadi 68500..udah telat barang ak sesuai harga 2kali lipat parah parah,1
Ku kasih bintang 5 karna modah proses nya.. TPI aku udah bayar Mala ditlfn lagi,5
Kasih bintang 5 semoga bisa perbarui limit,5
bagus.membantu sangat,5
Sangat bagus,5
Good job,5
Oke. Bintang.,1
cuma buat pengingat kalo saldo masuk :V,5
Aku belum tau klo harus instal spay jadi mau pake spaylater gagal terus.. Sekarang sudah instal tapi belum digunakan...mau tanya apakah kalau mau bayar spay later harus isi saldo dulu atau bolehkah ke indomart untuk bayar cicilan spay later sebab untuk isi saldo kami jarang punya uang kes yang langsung banyak jumlahnya sebab kami petani yang baru punya uang kalau panen Sudah dicoba dan berhasil tapi kenapa spaylaternya ga bisa diaktifkan spay limitnua disuruh masukkan kode melulu hadilnya zonk,3
mantapppppsssszzzz,5
Lebih mudah dan menyenangkan menggunakan apk shopeePay .. segala bentuk pembayaran juga lebih cepat . Terimakasih shopeePay,5
oke,5
terbaik,5
sangat membantu. aplikasi mantul,5
Tolonglah ada cicilan lagi buat saya,4
mantap,5
sangat membantu,5
lancar jaya,5
Telat sehari lngsung blacklist,1
Dibekukan,5
Tagihan sudah di lunasin.masih dibekukan.solusinya min,5
ok,5
ok ok ok ok ok,5
Mantapz,5
Bukan kaleng2 mantap sangat membantu untuk membuka bidang usaha 👍👍,5
𝐆𝐨𝐨𝐝 𝐣𝐨𝐛,4
Mantap,5
"shoope paylater saya sama shopee pinjam di blokir padahal saya hanya telat satu hari aja di pembayaran shopee pinjam nya, dan di shopee paylater nya selalu tepat waktu, gak kaya di lazada walaupun telat cuma sehari tapi masih bisa di gunakan lazpaylater nya",3
Good,5
Alhamdulillah dapat menyelesaikan masalah,5
Aku suka pakai shopeepay,5
"sangat membantu sekali , terimakasih Shopee",5
Ok,5
Gak memuaskan,1
Gimna cara hapus akun di shopeepay ..,1
Semoga selalu lancar lancar aja,5
"ShopeePay benar-benar praktis dan bikin belanja jadi lebih hemat! Transaksi cepat, aman, dan sering ada cashback serta promo menarik. Fitur top-up-nya juga gampang banget. Overall, ShopeePay bikin pengalaman belanja jadi lebih seru dan menguntungkan!",5
kira kira berapa lama pencairan nya?,3
praktis,5
oke,5
good job,5
mantap dri Andika,5
Daftar aja pake acara ribet ga jelas pada akhirnya ga bisa masuk,1
sangat memudahkan transaksi,5
👍🏻👍🏻👍🏻,5
top,5
"Minta tolong untuk print out transfer dibuat kayak m banking bank pada umumnya, dulu ada menu bagikan setelah transfer beraris, sekarang cuman di ss sendiri",5
mantap,5
oke,5
cukup memuaskan,4
aplikasi hebat,5
"Saya kurangi bintangnya agar diperbaiki karena: Setelah di update, aplikasi ShopeePay jadi berat, lambat, loading yang terlalu lama membuat transaksi jadi sangat tidak nyaman, Unyuk saat ini aplikasi Mitra shopee jauh lebih cepat,",3
Mantap nih,5
tambahkan layanan e wallet lain,1
Ok deh,5
da best,5
ok,5
Mantap shoopepay,5
sangat membantu,5
amazing,5
"saya suka , sopy mudah digunakan",5
muncul,5
"Koinnya cuma dapet 1,100 🤣🤣 pelit amat",4
aplikasi bagus,5
Sangat puas,5
Uang ditahan spay padahal status udah terkirim suruh nunggu 1×24 jam tetep belum masuk maunya gimana sih min? apa harus punya paylater baru dikirim😡,1
Tolong tambahkan bukti transaksi / struk setelah transfer biar enak kalau di cetak atau dikirim sebagai bukti.,4
"Bagus, Aman dan Tepercaya 👍👍👍",5
mantappp,5
Sengaja di download krn mau koin,5
Di coba dlu apktnya kalau baik dan bisa digunakan langsung tambah full bintang 🌟 🌟🌟🌟🌟 lima,4
Masalah koneksi ke server sering bermasalah. Gak ada fitur autodebit untuk paylater. Jadi pas mau bayar paylater susah. Sering gangguan koneksi. Sorry B1,1
Sukses selalu Shopee,5
Saya padahal telat cuman sekali tapi limit saya di bekukan selamanya dasar sampah udah nelepong ke semua kontak parah,1
Mantap,5
bagus..cepat sinyal Kuwat,5
bagus,5
Mudah,5
Sangat memuaskan,5
ternyata mudah dlm tiap aktivitas,5
Ok,5
Sangat mwmbantu,5
amanah,5
Giliran Dapet Limit Spaylater Malah Di Bekukan .. Kuatir Gak Di Bayar Kah ????,5
Bohong banget katanya di keterangan aktifkan shopeepay dapat bonus salda 100rb nyatanya Zonk alias gak ada gua cabut aja ni apl nyampah doang,1
ok,5
Aplikasi yang bagus,5
bagus,5
bagus,5
Bagus,5
sangat bagus dan cepat pembayarannya,5
mantaaap,5
oke cepat transaksinya,5
Lebih Simple,5
Sangat membantu dan memperlancar proses transaksi belanja. I love it,5
"Susah untuk masuk ke shopeepay plus, padahal baru ini saya mendaftar tp malah di bilng udah pernah mendaftar sebelumnya",1
Sangat membantu,5
sangat membantu,5
bagus banget,5
Sangat Bermanfaat dan mudah penggunaannya,5
bagus,5
Ok,5
"Mempermudah belanja dan semua JD gampang,",5
cepat n mudah,5
sangat mempermudah,5
sangat membantu,5
aplikasi ecomerce yg bermanfaat bagi banyak orang,5
baik,5
Gajadi dapet vocher Pengguna pertama cuma gegara kepencet kembali vochernya ga jadi ga bisa dimasukin.,1
Bantu di permudah,5
Shopee pay sangat membantu terimakasih kepada Shopee pay,5
Bagus klw pengajuan spinjam saya d acc mh..saya tiap pengajuan d tolak terus padahal saya gk punya kredit macet...,5
bagus sekali,5
"Keren,'semoga aman yaman dan gak ribet pake shopeePay 👍",4
Login nya lama,1
Ok,5
mantap,5
Top up shopee adminya mahal max..500rb sekali transaksi...payah,2
Saya pengguna paling lama gara2 telat 3 hari udh di byr akun di bekukan mana limit cuma 100rb sudah 2 thn masih aj blm bisa akrif lgi cari yg lain aj dech dpt payletter nya,3
mantap dikala tak punya uang,5
best la,4
sangat puas dengan aplikasi ini sangat membantu,5
mantap,5
"belanja mah terus terusan.. Sseminggu ada 6x blnja,, gunakan sopi udh bertahun2... Sampai sekarang sopiplayter s-pinjam puluhan kali ngajuin d tolak terus.. Aplikasi buruk",1
mantap,5
nice,5
ok,5
Bagus mempermudah urusan,5
Bagus buat transfer uang,5
sangat baik,5
baik,5
shopeypay mantap,5
seep,5
beli kuota internet malah dapat koin 10.000..happy sekali saya .terimakasih,4
sangat baik,5
sangat membantu,5
bagus,5
Oke banget deh..,5
Shopee pay buruk lemott,1
"Selalu gagal ketika pengajuan pinjaman, jika tidak niat buat memberi pinjaman lebih baik hapus saja aplikasi ini dari playstore",1
Aplikasinya bagus. Sangat membantu dan gratis biaya administrasi.,5
puas bgt...,5
Aplikasinya lemot bikin berat ram hp Orderanya engga ada.... setiap kali bikin peraturan selalu sepihak mmberat kan driver.,1
baik,5
Setiap pengajuan pinjaman gax lolos,1
Sering ga bisa setiat mau pembayaran,1
"Allhamdulilah,udah bisa bayar spayleter, saya kasih bintang 5 lagi ya kak.",5
Transaksi Termudah yang paling Recommended 👍👍👍,5
mantapppp jiwaaa,5
"Transfer dari jam 10pagi sampe jam 7 malem diproses mulu, klo emang lg gangguan ya dibatalkan lah balikin duit customer jgn diproses mulu gak ada kejelasan kapan masuknya 😢",1
Selalu membantu,5
cepat,5
Sangat bagus,5
ShopeePay.. Good ..,5
sangat mudah dipakai,5
Kenapa sya ga bisa daftar shopipay udh beberapa kali ga berhasil2,1
"Uang saya hilang 648 ribu transaksi QRIS pakai shoope, lapor cs tidak jelas, padahal aplikasi kaya astrapay gagal bayar qris dana langsung balik ini udah 2 mingguan ga ada kabar ga ada dana balik, aplikasi cacat",1
"Di awal disuruh download katanya dpt 100rb ,tapi kaga ada saldo nya ,boong aja ini aplikasi",1
Udh lama ngajuin Spaylater gak pernah di ACC. Ditlpn ke cs jawab nya gak jelas ngelantur suruh cek doang apa yg di cek udh mau setahun ..,1
Membantu,5
mudah digunakan dan aman sangat bermanfaat dan membantu buat semua transaksi pembayaran,5
makin keren shopeee 👍,5
Proses pencairan terlalu lama,1
Good luck,5
keren,5
mantab,5
"Saya edit yang tadinya bintang 2 jadi bintang 5. Terima kasih atas layanan CS yang baik. Di sini Saya juga minta maaf sempat beri bintang 2 dan kesal karena SPinjam tidak kunjung cair ke rekening Saya. Lapor ke CS berkali2 tapi nihil. Ternyata sebenarnya dana sudah berhasil dikirim dan masuk ke rekening LAMA Saya. Setelah Saya urus di kantor Bank yang bersangkutan, akhirnya dana BISA Saya ambil. Terima kasih Shopee.",5
Kenapa tagihan pulsa sekarang tidak bisa pake paylater..,4
bagus,5
good,5
mudah meriah,5
"Virtual akun masuk ke PT prima Buana perkasa ini gimana gag ada usaha ngembaliin salah transfer kah,yang buat virtual akun kan spinjam gag ada tanggung jawab kah",1
keren abis aplikasi nya,5
Tidak bisa transfer,5
mantap ni dapat poin..,5
Maaf saya kasih bintang 1 & hapus applikasi,1
Sangat membantu,4
"sangat membantu di kala kita terjepit ekonomi,makasih banyak",5
Bagus dan bermanfaat,5
Teruntuk pihak Shopee pay tolong dong sistem nya diperbaiki saya transfer dari Shopee pay ke bank bri ko pending nya lama tolong ya diperbaiki,1
Aplikasi shopeepay jaringan aplikasinya tidak stabil,1
"knpa sistem selalu eror, saat pinjam, tolong solusinya",5
👍🏻,5
Sangat mudah untuk belanja online,5
Bagus,5
jos,5
Pelayanan ketika proses transfer lama udah 2 hr smpe skrg blm terselsaikan juga👎👎,1
mohon bagi yang mengajukan pinjaman dana tolong disetujui jgn ditolak terus apalagi datanya SDH lengkap.trus kalau pengajuan pinjaman ditolak tolong hapus akunnya terimakasih,1
ok,5
ok,5
mantap,5
Sopir,5
asik dpt koin 25 k,5
Rawr,5
sangat membantu,5
"Sayaa TF ke Bank. Tapi kog belum terkirim yaa. Udh sejam pending, dan uang nya GK masukk ke Mbanking saya.",1
semoga semakin banyak dan sering cashbacknya,5
baik,5
Transfer lama,1
nice,5
"Sangat mudah dipahaminya, saya baru bergabung langsung paham",5
sangat membantu memudahkan,5
sangat membantu dalam transaksi,5
Mantap,5
syuka sekali karna dapet koin shopee banyak,5
thank you,5
Penipun.. sudah digunakan pakai voucher cashback tapi ternyata cashback tidak diberikan padahal suah sesuai dengan syarat dan ketentuan... Aplikasi tidak berguna dan penipu,1
Saya sangat senang dgn adanya apk shopeepay ini karna telah mempermudah segala urusan trima kasih shopeepay smoga tetap langgeng sukses slama-lamanya,5
Kecewa banget ajuan sya ga di stujui🤦 unistal aja lah,1
sangat mempermudah,5
"Trimakasih aplikasi pay baru daftar suda dapat limit, tetapi belum bisa di gunakan kenapa kak🙏🙏🙏",5
transaksiny mudah cepat dan aman,5
cukup membantu untuk transaksi lainnya,5
Cukup membantu,5
mantap,4
oke,5
mantap,5
bagus,5
mantap,5
Aplikasi online shop bagus sekali,5
Download krn notif dpt bonus 100rb. Trnyt begitu didownload ngk dapet.,1
Klam reword pengguna baru tidak memuaskan,1
suka Shopee payung bisa berguna buat apa aja 👍🏻,5
baik,5
mantap,5
praktis ga usah bawa uang cash,5
"Kalo belum benar² yakin jangan coba² beli di shopee, susah kalo mau di batalin. Tidak kaya di aplikasi sebelah... taik",1
App ini sangat membantu,5
Bagus banget,5
simple dan cepat. kalo bisa lebihkan koin nya,5
"Sudah seratus kali saya daftar spleter tapi gak bisa bisa, aplikasi apaan ini. Sangat mengecewakan",1
Sangat membantu,5
👍👍👍,5
Sangat membantu sekali,4
Selalu jaya dan amanah,5
Apk gampang belanja,5
shopeepay bapet total pembayaran 13100 da saldo 14000 ga bisa dipake... kecewa lah,1
rekomendasi yang terbaik,4
shopeePay mantap.5 bintang banyakin bonus buat saya yah?......biar bisa sering belanja,5
Memudahkan pembayaran,5
Sangat bagus,5
Memudahkan cara membayar pesanan...!,5
Baik sekali,5
baik,5
"Sulit,sulit,sulit, sulit dipakai!",1
Bagus aplikasi ini,5
sangat membantu,5
Baru kali ini saya tidak menerima pesanan!!! Tapi orderan sudah diterima!!!!! #kurir_Andrean kawasan Tangerang Karawaci!!,1
keren banget,5
Keren,5
memudahkan transaksi,5
Sungguh memuaskan,5
mantap,5
jos,5
pokok nya tidak diragukan lagi.. semoga bermamfaat,5
mantul aplikasinya,5
Anj susah,1
layanan bagus say suka,5
sangat membantu,5
Teranssaksi cepat dan tanpa biaya,5
mantap bgt sangat menbantu,4
bagus,5
"Ini akun shopee saya tidak bisa dikaitkan ke no hp saya karena no hp saya terkait ke akun shopee yang satunya itu solusinya gimana ya, sangat menyusahkan sekali",1
mantap,5
Aplkasi sopy nya sangat bagus sekali,5
bagus,5
bgus,5
"Sesekali make aplikasi ini gak ada kendala, lama"" kok ada notif dari shopee pay pembayaran gagal terus padahal gak lagi transaksi apa pun jadi takut makenya",1
Tlg kalo ngadain even shopee di batasi 1 akun 1x cekout biar yg hpnya lemot pada dpt karna yg lebih membutuhkan,5
good,5
keren bgt euy,5
bagus,5
Berkali-kali mengajukan selallu di tolak. Ntah setan apa yg merasukinya,1
mantep satset,5
"Oke sih, paylatter nya kebantu banget. Cuma sering banget mau payment pake QRIS di toko pake paylatter gangguan terus ""Terjadi kesalahan"" padahal sinyal bagus, udah tutup paksa aplikasi, pembayaran juga selama ini ga ada masalah. Padahal tokonya udah termasuk yg kerja sama. Tolong dong di benerin lagi",3
selalu ada kemudahan ☺️,5
mantab bangat,5
"Bintang 5 untuk cs shopee yg brnama kak nuni, mksih untuk bntuannya, cs yg lainnya juga cepat responnya..",5
sangat membantu,4
the best 👌🏻,5
belum ada pengganti apk belanja online yang lumayan meringankan pengeluaran . best,5
Aplikasi opsional pembayaran yg memudahkan qt dlm memenuhi kebutuhan yg urgen.,5
"ngebuk mulu waktu pembayar tagihan, ntar telat kena denda, aneh emng ni",1
sangat membantu,5
terima kasih,1
"Paling bgus mnurutku dibanding sma apk yg lain, yah intinya kl mau pinjol mending disini terpercaya+gk ribet rekomendasi buat kalian👍",5
Good...,5
Segini Sudah Terbilang Good ShopeePay😊,5
sangat membantu sekali,5
Mau log in udh d iisi kode otp nya ga masuk2 jg k aplikasi.. Gmna ya min bantu dong,5
aplikasinya koq trobel terus padahal mau bayar GK bisa bisa,3
Mau bayar tagihan malah gak keluar nomer reknya Kalo telat pasti gak mau rugi... Aplikasi kayak sampah,1
Gk sesuai iklan tidak memenuhi kriteria untuk mendapatkan saldo langsung uninstall,1
mantapp,5
belum di proses untuk cicilan dan pinjaman,5
sangat baik,5
cepat,5
bagus,5
keren.. mudah,5
"Mending pake aplikasi shop nya, lebih cepat proses.",1
bagus,5
oke rekom baik,5
Kak kenapa Shopee sekarang melakukan S-Pinjam kok gak langsung Cair yaaa padahal bayarnya gak pernah telat. Syaa ngajuin dari jam 1 siang sampai sekarang belom ada pencairan malah menunggu 3hari kerja. Gak bisa dibuat kepepet. Biasanya selalu cair gak Sampek 10 menit Tolong tingkatkan lagi ya kakkk,4
Pengajuan kredit cepat gak ada 1 menit udah cair sangat mudah sekali,5
Aplikasi licik masa gak bisa co produk padahal saldo mencukupi. Harus mengisi saldo 2x lipat baru bisa CO. Mana solusinya disuruh untuk pakai shopee later padahal riba,1
Mau loading aja susahnya terlalu ni akun...,3
ooke bgt,5
Baik,5
mantap,5
Oke punya,5
Aplikasi yang bagus untuk dapat brteransaksi,5
kenapa pas mau bayar cicilan gabisa terus ya minn kalo gitu terus yang ada malah jatuh tempo.,4
"Thnk yang terbaik untuk belanja onlen dan amanah ,❤️❤️",5
mantap,5
"Produk Shopee gaguna, nyusahin driver",1
selama masih kerja sama dengan anteraja ga bakal gua pake aplikasi lu,1
"Mau bayar aja ribet kode gk muncul,giliran telat bayar nelpon mulu",1
Sipppp,5
"Mantap bgt, bisa dijadikan andalan simpanan keuangan",5
"Saya sering top up dan blanja di shope, tapi tidak ada hal istimewa yang di berikan shope terhadap saya",1
kenapa saya tidak bisa bayar cicilan saya,1
Bagus.. Memudahkan pembayaran,5
kerennn mudah dan cepat,5
Baru coba,3
ok,5
bagus bgt,5
ok,5
sangat bagus,5
Eh ini gw mau bayar paylater Uda 3 hari kaga bisa terus lu mau di bayar apa engga sebenernya,1
Saran : kalo bisa sistem pembayaran lebih dipermudah contoh: kredit saya 1.000.000. dipertengahan bulan saya ada uang nganggur 500.000. nah kalo bisa uang itu saya bayarin sebelum jatuh tempo. jadi sebelum gajian saya tinggal bayar sisa nya. mohon dipertimbangankan 👍🏻,5
Sangat membantu,5
Tolong diperbaiki lagi aplikasi nya karena ketika saya pengen melunasi shopee paylater nya gak bisa bisa sampai shopee paylater nya saya jatuh tempo. Apakah harus sampai jatuh tempo dulu baru bisa di bayar pelunasan shopee paylater nya ? Tolong kerjasamanya ya !,1
user friendly...sangat bermanfaat,5
baik,5
👌👌👌,5
Mau bayar ko di persulit..error mulu...,4
Mantap,5
baik,5
Kenapa setiap saya ingin membayar tagihan tidak ada gambar no rek dan sebagainya,4
Ewalet gak guna. Transfer dipotong bahkan Top up / isii saldo pun dipotong,1
Mantap,5
top,5
sangat baik,5
Ampas,1
Hoax katanya dapet 100k Keterangan nya berhasil tapi saldo masih 0,1
mantap👍,5
good bisa bantu bayak org,5
Memudahkan saya untuk mendapatkan keperluan sehari-hari sampai keperluan dagangan dengan harga lebih murah daripada tempat lain.,5
sangat mantap,5
dia akan lebih bagus lagi kalo cicilan sampe 12 bulan,5
"Ini pt.lenteradana dan paylater knp?Aku bayar tepat waktu mulu bahkan limit ku pun mencukupi apa alasan kalian melakukan penolakan kalo limit itu ada ?TOLONG PERBAIKI SISTEM KALIAN,JANGAN SALAHKAN ORANG JIKA MELAKUKAN GABLAY JIKA KALIAN SENDIRI MEMPERSULIT DARI KEBIJAKAN KALIAN SENDIRI...",1
Cacad apk,1
OK,5
good,5
Keren,5
Kanpa saya tdik bisa membayar tagihan saya,5
"Sangat membantu, thank you.",5
Saya baru mencoba di aplikasi ini saya belum tahu? Saya akan mencoba ya,5
katanya kalo download Apk ini dpt 100rb ini malah gk dpt apa²,1
sangat memuaskan,5
baik,5
Mantap,5
memuaskan.,5
selalu ada dstiap saat,5
bagus,5
aplikasi sangat bagus sekali,5
Giliran mau bayar tagihan spaylater malah eror,1
Aplikasi bagus 1 untuk semua,5
mantap,5
Terima kasih shopeepay sangat membantu,5
mantep sopy pay pembelian pulsa tidak bisa tolong di perbaiki,3
👍👍👍👍👍,5
"Belanja AMAN, Belanja NYAMAN dan banyak BONUS, Thanks SHOPEE INDONESIA...",5
Okelahh,5
Njir,3
sangat membantu dalam proses transaksi online 🙏,5
bagus bgt🥰,5
Bagus n cepat hayuu tingkatkan terus,5
Sangat bagus,5
bagus,5
Terbukti bermanfaat,5
Keren Shopee sangat membantu sekali,5
Ini gimana ya ada yang sama ga? Sekarag saya pembayaran pay leter terakhir ko susah bayar nya ya ga muncul barcode nya biasanya muncul barcode nya buat bayar tagihan ko ini dari semalam susah? Kenapa apakah biar saya telat terus dapat bunga 5% plis deh benerin lagi shoope pay gua mau bayar bukan gamau bayar tapi shpe pay nya susah di akses padahal sinyal bagus pakai wifi kecewa saya.,1
mantaappp,5
sangat membantu,4
saya pertama kali pakai spay. kalau toko sebelah bisa melakukan pembayaran cicilan sekaligus. kok spay gak bisa yah? sy mau bayar cicilan(pertama sampai selesai) sekaligus selalu blank screen. ngulang terus menerus.,3
bagus👍,5
ok,5
Bagus,5
baik,4
Sangat membantu,5
"Nomor virtual account tidak muncul,, transaksi tidak bisa dilanjutkan. Tanggal pembayaran sudah jatuh tempo",1
mantap,5
👍,5
sangat membantu sekali,5
Ya boleh lah,5
Ktp valid..bahkan sdh ada ktp digital,1
Saya sangat suka,5
Sangat membantu adanya aplikasi ini,5
Ok sopy pay,5
BGus,5
Pelayanan sangat baik dan melindungi konsumen...,5
Ok banget,5
"Blm pernah ada spaylater ditempat lain, data sesuai. Tpi gk bisa diterima pengajuan",1
Shopeepay adalah aplikasi yang mempermudah para pengguna,5
Baru mulai dengan aplikasi ini 🙏🙏,3
Top,5
Bismillah berkah.. aminnnn,5
Good,5
memuaskan,5
Bagus,5
"Aplikasi tidak optimal, ingin melakukan transaksi selalu stuck, padahal sinyal dan device tidak bermasalah.",3
Pada awalnya kami meragukan keberhasilan untuk pinjaman di aplikasi ini.... Ternyata sangat mudah dan responsif...,5
Mantappppp,5
Ga bisa cekout cok,1
oke,5
puass bangeeetttt,5
Kurang memuaskan dengan kebijakan aplikasi,1
Mantab deh pokok nya shoppepay sayang nya paylater saya ko ga bisa pake bayar pulsa yaaa🙄🙄🙄,5
Mau bayar ko susah kali loadingnya,1
sangat mudah untuk bertransaksi dalan pembelian paket data,4
Sangat membantu sekali dikala kepepet,5
Tidak mengerti,5
"Ini gimana yahh, saya mau bayar tagihan saya tapi apk nya eror... Layar nya putih gak bisa liat no virtual buat transfer dana nya",3
Bagus,5
Belanja di sini ok'bgt banyak gratis ongkirnya,5
Proses cepat dan sangat membantu,5
oke,5
Kok habis di update tiba² eror,3
sangat memudahkan..,5
Baru daftar dikasih pinjaman cuma 750.. katanya bisa sampai 50jt. Tp ko ga bisa yahh.. kasih 1 bintang dulu lah..,1
Tanggal udah mepet mok bayar tagihan gabisa niat biar nambah 5 % apa ya,1
Bagus,5
matap apknya,5
"Mau bayar spaylater tapi tidak bisa, stuck di pembayaran terus tidak bisa di klik apa""",1
G ada cicilan tapi g bisa di pake sipinjam,5
asikk sering promo ya.Thx,5
"Alhamdulillah,",5
"Semoga bermanfaat. Dengan ada nya aplikasi paylater ini. Pinjamlah saham perusahaan dengan Perasaan, dan bayar lah sesuai tanggal yang di tentukan.",5
Sebenarnya bagus untuk transaksi cuma untuk topup kenapa harus dibatasi,1
"Akun dibatasi tanpa reason yang pas.kita kredit juga bayar bro.jangan seenaknya sendiri.situ juga dapat bunga atas jasa payment nya kan. Payment menggunakan qris tidak bisa.sungguh aneeh aturan main perusahaan.kita bayar tidak pernah telat Masih dipersulit transaksinya Sudah komplain ke cs juga percuma,dikasih jawaban yg klasik Pihak ketiga,keputusan internal dll",1
sangat bagus,5
good,5
👎👎👎👎👎,1
Good,5
"Aplikasi yg bagus yg slalu membantu saya di saat saya sedang kritis bisa membeli apapun denga cicilan 12 bulan ,mksih buat sopeepay",5
Sangat membantu,4
Saya suka,5
Ok,5
Selamat MLM ya min saya baru ngaju in pay pinjam lgsung di tolak kok. Tiba2 ada pinjaman blm di bayar GK jelas aplikasi ini,1
good,5
Sangat bagus,5
Tolong di bantu saya tidak bisa bayar tagihan,4
bagus,5
"Gangguang, tdk bisa membayar tagihan, va nya ga keluar keluar gmna ini",1
"Gangguan pembayaran spaylater,jadi nya bakal kena jatuh tempo,padahal mau bayar tepat waktu",1
"Kak ini gimana ya punyaku kok udah instal ga bisa2 login pake nomor, daftar pake nomor, login pake shopee tetep g bisa kode otp masuk tp abis itu cm muter2 doang abis tu ga terjadi apa2",1
pembayaran peraktis,5
Memuaskan,5
"Ini gimana sih, saya mau bayar tapi gangguan terus dari kemaren. Katanya sistem sibuk, mau bayar gabisa kan jadi kelewat tanggal nya kena denda juga. Mana di telponin terus2an padahal udah ngasih tau kalo sistemnya eror terus dari kemaren",3
"Ok bgt, memudahkan transaksi",5
Simpel dan mudah di ppahami,5
Mantabb,5
Sangat membantu,5
mau mbayar gagal terus ku kasih bintang 1,1
Mantap sangan membantu dan bermanfaat,5
sangat membantu,4
mantappp,5
"sudah instal langsung tk hapus Gak sesuailah. ktnya kalo instal dpt sampai 100 rb. Taunya 100 perak, bayanganku minimal 50rb lah kalo max 100rb",1
"Bonus pengguna baru tidak masuk, bonus daftar pinjaman juga tidak masuk. Kena scam saya",1
prosesnya cepat,5
praktis dan simple,5
Mau bayar tagihan malah muncul halaman blank,1
mantap,5
Setan...bener kalo beli barang makanan ternyata di racuni entah siapa pihak bajing tersembunyi tersebut ..🤧😡 Kalo barang mana mungkin bisa di racun ..keamanan pembeli gak bisa di jamin cihhh si Rafi Ahmad emang teroris 😈,1
menyalaaaa,5
Shoppy pembohong kasih limit Spinjam dan paylater tapi tidak pernah disetujui kalau tidak ada uang janagn buat program penipuan.,5
mntap,5
S shopee adalah tujuan mendapati hasil uang yg paling utama dlam kantung nyatamu dn aku adalah untuk jual beli,5
Mantap,5
Top,5
Good,5
Semoga sukses untuk shopee,5
very good,4
Susah dalam pengajuan dan baru ini tdk diACC... ah males mendingan dihapus... mengecewakan... takut kagak dibayar lucu aplikasinya,1
"Sll gagal waktu tlpn operator jawabnya ngawur ,saya d bilang punya keterlambatan pada hal baru tahu ada Shopee later,dan pernah pinjam yang ada saya sering belanja cod trs 🤦",3
selalu dibantu disaat keperluan,5
Bagus,5
"transaksi kebutuhan sehari hari menjadi lebih mudah karna adanya shopeepay, terimakasih shopeepay",4
Sangat bagus,5
perfect,5
"Ini ntah lagi eror atau gimana, Pas lagi minta kode buat pembayaran kg muncul-muncul kan jadi bingung",3
"saiiikkk lah hari ini, jalan sndripun Gpp",5
aplikasi yang sangat membantu saya. mudah dan cepat. mantap,5
shope ok pokoknya,5
"Tolong Perbaiki lagi saya lebih suka isi saldo shopee pay pakai pulsa,,, terimakasih atas kerjasama nya salam😊🙏, regards😊🙏",5
"ada wa penagihan tp masuk aplikasi ga bisa,nomer pembayaran nya g muncul,kalo nomer pembayaran ga muncul terus kita mau bayar cicilan gimana?",1
Sukses selalu,5
dasar kurang ajar ini gimna saya download ini ngehabis'in pket gua gak guna apk ini dasar najis gua download ini lagi,1
"Sangat berguna,",5
Mantap Jiwa,5
Ok,5
mantap,5
mudah dan membantu,5
ok bangetlah,5
mantab,5
sangat membantu sekali,5
"Shopiepay plus. Untuk pmbyaran blnja di Shopie smua bgus Gak pakai ribet isi data. dn knpa sy Daftar plylater data sy, d.tolak & coba2 cri limit di akulaku, akhrnya dpt 3jt blnja online, limit Blnja di toko lgsung dpt. 5jt, dpt juga dana tunai, Pmbyran di akulaku. sy lancar sblom jatoh tempo sdh sy byr,dn coba cri limit di app lain dpt 3,200 dana tunai sy cair in 2,200 tenor 15 hri sy byr lunas sm bunga2nya) syg skli sy sering blnja di shopie.tp data ku plylater di tolak",4
Transfer pake shopeepay ke bank udah dari jam 13.00 ga masuk2 udah mau jam 4 dikira tu duit ga mau dipake :) Update!. Udah di hari berikutnya jam 09.26 dan blm masuk jg :) thanks bgt loh,1
Di suruh,5
good jobs,4
Gimana cara aktifkan supaya bisa bayar cicilan di shoplater ini,5
ShopeePay the best de hhh,5
Praktis,5
Min tolong apus data pribadi saya.... Sayaa mauu apus akun udah coba berkali kali mau apus akun gabisa ngga....malah saya ajuin gbisa juga ini udah dua kali saya ajuin masih di tolak bae jadi saya apus aplikasi ini mulai tanggal 29 Oktober 2024 aplikasi ini saya apus jika ada yang atasin nama saya.... Saya tidak bertanggung jawab....,1
Tolong ini saya mau bayar spaylater kenapa kaga nongol2 nomor va nya,3
Sejauh ini aplikasinya aman-aman saja gak ada kendala dalam bertransaksi.,5
sangat bagus dan berkualitas,5
mantap,5
trmksh shoope 👍,5
cepat & mudah,5
Baik,5
sangat membantu.. beli apa pun itu gak perlu ribet.. di shopee semua ada.. terima kasih shopee,5
best,5
Kasih bintang 5 aja dulu baru install,5
ok banget,5
ok banget,5
sangat membantu,4
Oke bos'q,5
sangat membantu dan sangat recommended,5
bagus sangat membantu,5
"Ok... mantap..., ((saya akan selalu melaporkan bug aplikasi jika suatu saat hari nanti ada😏😏🫡🫡😤))",5
good,5
